texto,comando,resposta_item,opcoes
"Seus pais já inspecionaram seu quarto para ver se você o limpou corretamente? Imagine ter suas casas inteiras, garagem e quintal inspecionados a qualquer momento - sem aviso prévio. As inspeções eram uma parte regular da vida do farol, e a reputação de um guardião dependia dos resultados. Algumas vezes a cada ano, um inspetor chegou para olhar por toda a estação de luz. As inspeções deveriam ser uma surpresa, mas o guardião às vezes tinha aviso prévio. Uma vez que os faróis ligavam para os telefones, tinha telefones, os guardas ligavam uns aos outros para avisar que o inspetor estava se aproximando. Depois que os barcos começaram a voar bandeiras especiais observando o inspetor a bordo, a família do guardião fez um jogo para ver quem poderia notar o barco primeiro. Assim que alguém viu o barco, todos faziam limpeza de última hora e se transformavam em roupas extravagantes. O guarda então correu para colocar seu uniforme e boné. Filhos de guardas lembram-se de inspetores usando suas luvas brancas e luvas para passar os dedos sobre molduras de portas e janelas à procura de poeira. Apesar da natureza séria de inspeções, eles resultaram em alguns momentos engraçados. Betty Byrnes lembrou quando sua mãe não teve tempo para lavar todos os pratos antes de uma inspeção. Na época, as pessoas não tinham máquinas de lavar louça em suas casas. Em um esforço para limpar rapidamente, a Sra. Byrnes jogou todos os pratos em uma grande panela de pão, cobriu-os com um pano e enfiou o forno. forno. Se o inspetor abrisse a porta do forno, pareceria que o pão estava assando. ele nunca fez. Um dia, a mãe de Glenn Furst colocou óleo no chão da cozinha pouco antes do inspetor entrar em sua casa. Como cera no chão, o óleo fez os pisos brilhantes e ajudou a proteger a madeira. Desta vez, porém, ela usou um pouco de óleo demais. Quando o inspetor estendeu a mão para cumprimentar a mãe de Glenn, ele escorregou no chão jovem recém-a. Depois que ele se estabilizou, ele apertou a mão da mãe de Glenn, e a inspeção continuou como se nada tivesse acontecido.",A família começou a fazer os preparativos imediatamente após _ .,A,"['Um dos membros viu o barco', 'Uma chamada de aviso chegou ao farol', 'o guardião colocar o uniforme vestido e boné', 'o inspetor voou bandeiras especiais à distância']"
"Seus pais já inspecionaram seu quarto para ver se você o limpou corretamente? Imagine ter suas casas inteiras, garagem e quintal inspecionados a qualquer momento - sem aviso prévio. As inspeções eram uma parte regular da vida do farol, e a reputação de um guardião dependia dos resultados. Algumas vezes a cada ano, um inspetor chegou para olhar por toda a estação de luz. As inspeções deveriam ser uma surpresa, mas o guardião às vezes tinha aviso prévio. Uma vez que os faróis ligavam para os telefones, tinha telefones, os guardas ligavam uns aos outros para avisar que o inspetor estava se aproximando. Depois que os barcos começaram a voar bandeiras especiais observando o inspetor a bordo, a família do guardião fez um jogo para ver quem poderia notar o barco primeiro. Assim que alguém viu o barco, todos faziam limpeza de última hora e se transformavam em roupas extravagantes. O guarda então correu para colocar seu uniforme e boné. Filhos de guardas lembram-se de inspetores usando suas luvas brancas e luvas para passar os dedos sobre molduras de portas e janelas à procura de poeira. Apesar da natureza séria de inspeções, eles resultaram em alguns momentos engraçados. Betty Byrnes lembrou quando sua mãe não teve tempo para lavar todos os pratos antes de uma inspeção. Na época, as pessoas não tinham máquinas de lavar louça em suas casas. Em um esforço para limpar rapidamente, a Sra. Byrnes jogou todos os pratos em uma grande panela de pão, cobriu-os com um pano e enfiou o forno. forno. Se o inspetor abrisse a porta do forno, pareceria que o pão estava assando. ele nunca fez. Um dia, a mãe de Glenn Furst colocou óleo no chão da cozinha pouco antes do inspetor entrar em sua casa. Como cera no chão, o óleo fez os pisos brilhantes e ajudou a proteger a madeira. Desta vez, porém, ela usou um pouco de óleo demais. Quando o inspetor estendeu a mão para cumprimentar a mãe de Glenn, ele escorregou no chão jovem recém-a. Depois que ele se estabilizou, ele apertou a mão da mãe de Glenn, e a inspeção continuou como se nada tivesse acontecido.","Sra. Byrnes colocar os pratos no forno, porque isso iria _ .",C,"['resulta em alguma diversão', 'Acelere lavando-os', 'Faça sua casa parecer arrumada', 'ser uma exigência do inspetor']"
"Seus pais já inspecionaram seu quarto para ver se você o limpou corretamente? Imagine ter suas casas inteiras, garagem e quintal inspecionados a qualquer momento - sem aviso prévio. As inspeções eram uma parte regular da vida do farol, e a reputação de um guardião dependia dos resultados. Algumas vezes a cada ano, um inspetor chegou para olhar por toda a estação de luz. As inspeções deveriam ser uma surpresa, mas o guardião às vezes tinha aviso prévio. Uma vez que os faróis ligavam para os telefones, tinha telefones, os guardas ligavam uns aos outros para avisar que o inspetor estava se aproximando. Depois que os barcos começaram a voar bandeiras especiais observando o inspetor a bordo, a família do guardião fez um jogo para ver quem poderia notar o barco primeiro. Assim que alguém viu o barco, todos faziam limpeza de última hora e se transformavam em roupas extravagantes. O guarda então correu para colocar seu uniforme e boné. Filhos de guardas lembram-se de inspetores usando suas luvas brancas e luvas para passar os dedos sobre molduras de portas e janelas à procura de poeira. Apesar da natureza séria de inspeções, eles resultaram em alguns momentos engraçados. Betty Byrnes lembrou quando sua mãe não teve tempo para lavar todos os pratos antes de uma inspeção. Na época, as pessoas não tinham máquinas de lavar louça em suas casas. Em um esforço para limpar rapidamente, a Sra. Byrnes jogou todos os pratos em uma grande panela de pão, cobriu-os com um pano e enfiou o forno. forno. Se o inspetor abrisse a porta do forno, pareceria que o pão estava assando. ele nunca fez. Um dia, a mãe de Glenn Furst colocou óleo no chão da cozinha pouco antes do inspetor entrar em sua casa. Como cera no chão, o óleo fez os pisos brilhantes e ajudou a proteger a madeira. Desta vez, porém, ela usou um pouco de óleo demais. Quando o inspetor estendeu a mão para cumprimentar a mãe de Glenn, ele escorregou no chão jovem recém-a. Depois que ele se estabilizou, ele apertou a mão da mãe de Glenn, e a inspeção continuou como se nada tivesse acontecido.","Se o inspetor tivesse aberto a porta do forno, ele teria visto _ .",D,"['uma panela vazia', 'muitos pratos limpos', 'pedaços de pão assado', 'um pano cobrindo algo']"
"Seus pais já inspecionaram seu quarto para ver se você o limpou corretamente? Imagine ter suas casas inteiras, garagem e quintal inspecionados a qualquer momento - sem aviso prévio. As inspeções eram uma parte regular da vida do farol, e a reputação de um guardião dependia dos resultados. Algumas vezes a cada ano, um inspetor chegou para olhar por toda a estação de luz. As inspeções deveriam ser uma surpresa, mas o guardião às vezes tinha aviso prévio. Uma vez que os faróis ligavam para os telefones, tinha telefones, os guardas ligavam uns aos outros para avisar que o inspetor estava se aproximando. Depois que os barcos começaram a voar bandeiras especiais observando o inspetor a bordo, a família do guardião fez um jogo para ver quem poderia notar o barco primeiro. Assim que alguém viu o barco, todos faziam limpeza de última hora e se transformavam em roupas extravagantes. O guarda então correu para colocar seu uniforme e boné. Filhos de guardas lembram-se de inspetores usando suas luvas brancas e luvas para passar os dedos sobre molduras de portas e janelas à procura de poeira. Apesar da natureza séria de inspeções, eles resultaram em alguns momentos engraçados. Betty Byrnes lembrou quando sua mãe não teve tempo para lavar todos os pratos antes de uma inspeção. Na época, as pessoas não tinham máquinas de lavar louça em suas casas. Em um esforço para limpar rapidamente, a Sra. Byrnes jogou todos os pratos em uma grande panela de pão, cobriu-os com um pano e enfiou o forno. forno. Se o inspetor abrisse a porta do forno, pareceria que o pão estava assando. ele nunca fez. Um dia, a mãe de Glenn Furst colocou óleo no chão da cozinha pouco antes do inspetor entrar em sua casa. Como cera no chão, o óleo fez os pisos brilhantes e ajudou a proteger a madeira. Desta vez, porém, ela usou um pouco de óleo demais. Quando o inspetor estendeu a mão para cumprimentar a mãe de Glenn, ele escorregou no chão jovem recém-a. Depois que ele se estabilizou, ele apertou a mão da mãe de Glenn, e a inspeção continuou como se nada tivesse acontecido.",O inspetor acenou seus braços _ .,A,"['para tentar o seu melhor para se manter estável', 'para mostrar sua satisfação com o chão', 'para estender uma saudação calorosa à mãe de Glenn', 'para expressar sua intenção de continuar a inspeção']"
"A companhia aérea perdeu sua bagagem. A lavanderia do hotel arruinou sua camisa favorita. O motorista de táxi sobrecarregou você. Quando você está no exterior, às vezes as coisas dão errado. Agora você pode fazer algo sobre isso! Use essas dicas quando quiser expressar uma queixa eficaz em inglês. Não importa o quão injusta a situação, é melhor expressar sua queixa educadamente. Em inglês, você soará mais educado se você usar linguagem indireta. Aqui estão alguns exemplos: ""Sinto muito..."" Começando uma queixa como esta coloca o ouvinte que pode ter ouvido muitas queixas naquele dia à vontade. Use esta frase se a situação não é tão grave. Por exemplo, ""Sinto muito incomodá-lo, mas eu queria uma batata assada, não batatas fritas."" ""Você pode me ajudar com isso?"" Todo mundo preferiria muito mais ser solicitado a fazer algo do que dizer! Então tente frasear sua queixa como um pedido de ajuda: ""Você pode me ajudar com esta camisa?"" ""Temo que possa haver um mal-entendido."" Esta é uma maneira educada de dizer: ""Sua informação está errada. Por favor, conserte-a agora."" Você provavelmente usará essa frase se fizer reservas para um voo, hotel ou restaurante, e quando chegar, não é o que você esperava. Por exemplo, ""Temo que possa haver um mal-entendido. Eu solicitei diretamente um quarto para não fumantes."" ""Eu entendo que você não..."" com uma pessoa que não foi diretamente responsável pelo problema. Mas o problema não é sua culpa, também! Esta frase é útil quando você precisa de ação rápida. Diga à pessoa que você está lidando com você entender que eles não são culpados e, em seguida, declarar diretamente o problema: ""Eu entendo que não é sua culpa, mas a companhia aérea prometeu que iria entregar a minha bagagem ontem."" ""Desculpe-me, mas eu entendi que..."" Usando esta frase deixa a pessoa saber que você está bem Eles podem estar tentando tirar vantagem de você. Não diga: ""Ei! Você está tentando me enganar!"" Em vez disso, comece indiretamente afirmando o que você sabe ser verdade: ""Eu entendi que a viagem de táxi para o aeroporto era de apenas 25 dólares."" Em seguida, dê-lhes a oportunidade de fazer a coisa certa.",Qual é o propósito desta passagem?,C,"['Para dar uma introdução da vida no exterior.', 'Para dar sugestões sobre como aprender inglês.', 'Para oferecer conselhos sobre como dar queixas em inglês.', 'Oferecer guias para aqueles que viajam ao redor do mundo.']"
"A companhia aérea perdeu sua bagagem. A lavanderia do hotel arruinou sua camisa favorita. O motorista de táxi sobrecarregou você. Quando você está no exterior, às vezes as coisas dão errado. Agora você pode fazer algo sobre isso! Use essas dicas quando quiser expressar uma queixa eficaz em inglês. Não importa o quão injusta a situação, é melhor expressar sua queixa educadamente. Em inglês, você soará mais educado se você usar linguagem indireta. Aqui estão alguns exemplos: ""Sinto muito..."" Começando uma queixa como esta coloca o ouvinte que pode ter ouvido muitas queixas naquele dia à vontade. Use esta frase se a situação não é tão grave. Por exemplo, ""Sinto muito incomodá-lo, mas eu queria uma batata assada, não batatas fritas."" ""Você pode me ajudar com isso?"" Todo mundo preferiria muito mais ser solicitado a fazer algo do que dizer! Então tente frasear sua queixa como um pedido de ajuda: ""Você pode me ajudar com esta camisa?"" ""Temo que possa haver um mal-entendido."" Esta é uma maneira educada de dizer: ""Sua informação está errada. Por favor, conserte-a agora."" Você provavelmente usará essa frase se fizer reservas para um voo, hotel ou restaurante, e quando chegar, não é o que você esperava. Por exemplo, ""Temo que possa haver um mal-entendido. Eu solicitei diretamente um quarto para não fumantes."" ""Eu entendo que você não..."" com uma pessoa que não foi diretamente responsável pelo problema. Mas o problema não é sua culpa, também! Esta frase é útil quando você precisa de ação rápida. Diga à pessoa que você está lidando com você entender que eles não são culpados e, em seguida, declarar diretamente o problema: ""Eu entendo que não é sua culpa, mas a companhia aérea prometeu que iria entregar a minha bagagem ontem."" ""Desculpe-me, mas eu entendi que..."" Usando esta frase deixa a pessoa saber que você está bem Eles podem estar tentando tirar vantagem de você. Não diga: ""Ei! Você está tentando me enganar!"" Em vez disso, comece indiretamente afirmando o que você sabe ser verdade: ""Eu entendi que a viagem de táxi para o aeroporto era de apenas 25 dólares."" Em seguida, dê-lhes a oportunidade de fazer a coisa certa.","De acordo com a passagem, se encontrarmos uma situação injusta, é melhor _ .",A,"['nossas queixas educadamente', 'para a polícia imediatamente', 'Usar a linguagem indireta para ferir as pessoas', 'Lutar contra aquele que é responsável']"
"A companhia aérea perdeu sua bagagem. A lavanderia do hotel arruinou sua camisa favorita. O motorista de táxi sobrecarregou você. Quando você está no exterior, às vezes as coisas dão errado. Agora você pode fazer algo sobre isso! Use essas dicas quando quiser expressar uma queixa eficaz em inglês. Não importa o quão injusta a situação, é melhor expressar sua queixa educadamente. Em inglês, você soará mais educado se você usar linguagem indireta. Aqui estão alguns exemplos: ""Sinto muito..."" Começando uma queixa como esta coloca o ouvinte que pode ter ouvido muitas queixas naquele dia à vontade. Use esta frase se a situação não é tão grave. Por exemplo, ""Sinto muito incomodá-lo, mas eu queria uma batata assada, não batatas fritas."" ""Você pode me ajudar com isso?"" Todo mundo preferiria muito mais ser solicitado a fazer algo do que dizer! Então tente frasear sua queixa como um pedido de ajuda: ""Você pode me ajudar com esta camisa?"" ""Temo que possa haver um mal-entendido."" Esta é uma maneira educada de dizer: ""Sua informação está errada. Por favor, conserte-a agora."" Você provavelmente usará essa frase se fizer reservas para um voo, hotel ou restaurante, e quando chegar, não é o que você esperava. Por exemplo, ""Temo que possa haver um mal-entendido. Eu solicitei diretamente um quarto para não fumantes."" ""Eu entendo que você não..."" com uma pessoa que não foi diretamente responsável pelo problema. Mas o problema não é sua culpa, também! Esta frase é útil quando você precisa de ação rápida. Diga à pessoa que você está lidando com você entender que eles não são culpados e, em seguida, declarar diretamente o problema: ""Eu entendo que não é sua culpa, mas a companhia aérea prometeu que iria entregar a minha bagagem ontem."" ""Desculpe-me, mas eu entendi que..."" Usando esta frase deixa a pessoa saber que você está bem Eles podem estar tentando tirar vantagem de você. Não diga: ""Ei! Você está tentando me enganar!"" Em vez disso, comece indiretamente afirmando o que você sabe ser verdade: ""Eu entendi que a viagem de táxi para o aeroporto era de apenas 25 dólares."" Em seguida, dê-lhes a oportunidade de fazer a coisa certa.",Por que devemos começar uma reclamação com frases educadas?,C,"['Porque a situação nunca é séria.', 'Porque o ouvinte pode não falar inglês.', 'Porque pode ajudar a resolver o problema mais facilmente.', 'Porque devemos estar sempre em boas maneiras no exterior.']"
"A companhia aérea perdeu sua bagagem. A lavanderia do hotel arruinou sua camisa favorita. O motorista de táxi sobrecarregou você. Quando você está no exterior, às vezes as coisas dão errado. Agora você pode fazer algo sobre isso! Use essas dicas quando quiser expressar uma queixa eficaz em inglês. Não importa o quão injusta a situação, é melhor expressar sua queixa educadamente. Em inglês, você soará mais educado se você usar linguagem indireta. Aqui estão alguns exemplos: ""Sinto muito..."" Começando uma queixa como esta coloca o ouvinte que pode ter ouvido muitas queixas naquele dia à vontade. Use esta frase se a situação não é tão grave. Por exemplo, ""Sinto muito incomodá-lo, mas eu queria uma batata assada, não batatas fritas."" ""Você pode me ajudar com isso?"" Todo mundo preferiria muito mais ser solicitado a fazer algo do que dizer! Então tente frasear sua queixa como um pedido de ajuda: ""Você pode me ajudar com esta camisa?"" ""Temo que possa haver um mal-entendido."" Esta é uma maneira educada de dizer: ""Sua informação está errada. Por favor, conserte-a agora."" Você provavelmente usará essa frase se fizer reservas para um voo, hotel ou restaurante, e quando chegar, não é o que você esperava. Por exemplo, ""Temo que possa haver um mal-entendido. Eu solicitei diretamente um quarto para não fumantes."" ""Eu entendo que você não..."" com uma pessoa que não foi diretamente responsável pelo problema. Mas o problema não é sua culpa, também! Esta frase é útil quando você precisa de ação rápida. Diga à pessoa que você está lidando com você entender que eles não são culpados e, em seguida, declarar diretamente o problema: ""Eu entendo que não é sua culpa, mas a companhia aérea prometeu que iria entregar a minha bagagem ontem."" ""Desculpe-me, mas eu entendi que..."" Usando esta frase deixa a pessoa saber que você está bem Eles podem estar tentando tirar vantagem de você. Não diga: ""Ei! Você está tentando me enganar!"" Em vez disso, comece indiretamente afirmando o que você sabe ser verdade: ""Eu entendi que a viagem de táxi para o aeroporto era de apenas 25 dólares."" Em seguida, dê-lhes a oportunidade de fazer a coisa certa.",Várias queixas eficazes em inglês são mencionadas acima EXCEPT _ .,C,"['""Você pode me ajudar com isso?""', '""Eu entendo que não é sua culpa.""', '""Ei, estás a tentar enganar-me!""', '""Temo que possa haver um mal-entendido.""']"
"Se você quer ser um sucesso, estudar na Universidade de Waikato é certo para você. A universidade é reconhecida internacionalmente por sua excelência e realizações. Ele irá ajudá-lo a desenvolver habilidades avançadas de pesquisa. Como estudante universitário, você pode obter instalações de pesquisa de primeira classe com professores treinados para ajudar, apoiar e aconselhá-lo em seu estudo. Nós nos orgulhamos de nossos altos padrões, nosso sucesso de pesquisa e nosso reconhecimento internacional. Para obter mais informações: infwaikato. Wenz Degree. Informações: infwaikato.ac.nz. Grau Oferecemos uma ampla escolha de graus de bacharel para estudantes internacionais, que inclui: Artes, Estudos de Comunicação, Ciências Sociais, etc. Bacharel em Música e Bacharel em Educação são apenas para cidadãos da Nova Zelândia, para mais informações: degwaikato.ac.nz. As taxas de matrícula são diferentes de departamento para departamento, geralmente de US $ 5.000 a US $ 6.000 por ano. Para mais informações: Você pode ter um quarto em um apartamento de 4 quartos, que custará cerca de US $ 100 por mês com outros custos de vida regulares de cerca de US $ 150 por mês para uma pessoa. Para obter mais informações: accwaikato. ac.nz Saúde O Serviço de Saúde do Estudante oferece excelentes serviços médicos para estudantes. O Centro Médico está aberto cinco dias por semana, incluindo férias de estudantes com quatro médicos e enfermeiros para atender às suas necessidades médicas. Para mais informações: curewaikato.ac.nz Sports Centre. Centro de esportes é um ótimo lugar para ter atividades esportivas. Professores de exercícios treinados podem ajudá-lo a elaborar um plano de treinamento e mantê-lo ativo. O salão de esportes tem quadras de vôlei, basquete e futebol indoor e uma piscina também. Há também um grande número de clubes esportivos em Waikato. Para mais informações: sport waikato.ac.nz","Se você quiser obter mais informações sobre artes, você pode escrever para _ .",C,"['sportwaikato.ac.nz', 'www.waikato.ac.nz', 'degwaikato.ac.nz', 'infowaikato.ac.nz']"
"Se você quer ser um sucesso, estudar na Universidade de Waikato é certo para você. A universidade é reconhecida internacionalmente por sua excelência e realizações. Ele irá ajudá-lo a desenvolver habilidades avançadas de pesquisa. Como estudante universitário, você pode obter instalações de pesquisa de primeira classe com professores treinados para ajudar, apoiar e aconselhá-lo em seu estudo. Nós nos orgulhamos de nossos altos padrões, nosso sucesso de pesquisa e nosso reconhecimento internacional. Para obter mais informações: infwaikato. Wenz Degree. Informações: infwaikato.ac.nz. Grau Oferecemos uma ampla escolha de graus de bacharel para estudantes internacionais, que inclui: Artes, Estudos de Comunicação, Ciências Sociais, etc. Bacharel em Música e Bacharel em Educação são apenas para cidadãos da Nova Zelândia, para mais informações: degwaikato.ac.nz. As taxas de matrícula são diferentes de departamento para departamento, geralmente de US $ 5.000 a US $ 6.000 por ano. Para mais informações: Você pode ter um quarto em um apartamento de 4 quartos, que custará cerca de US $ 100 por mês com outros custos de vida regulares de cerca de US $ 150 por mês para uma pessoa. Para obter mais informações: accwaikato. ac.nz Saúde O Serviço de Saúde do Estudante oferece excelentes serviços médicos para estudantes. O Centro Médico está aberto cinco dias por semana, incluindo férias de estudantes com quatro médicos e enfermeiros para atender às suas necessidades médicas. Para mais informações: curewaikato.ac.nz Sports Centre. Centro de esportes é um ótimo lugar para ter atividades esportivas. Professores de exercícios treinados podem ajudá-lo a elaborar um plano de treinamento e mantê-lo ativo. O salão de esportes tem quadras de vôlei, basquete e futebol indoor e uma piscina também. Há também um grande número de clubes esportivos em Waikato. Para mais informações: sport waikato.ac.nz",Qual das seguintes afirmações é verdadeira?,B,"['Você não tem que pagar mais de US $ 5.000 por ano.', 'Todo mundo não pode escolher o Bachelor of Music.', 'Se você quiser saber mais sobre Saúde, você pode visitar accwaikato. ac.nz.', 'Você pode viver em um apartamento com dois quartos.']"
