titulo_do_texto,texto,descritor,comando,resposta,resposta_item,opcoes
Dois amigos e um chato,"Os dois estavam tomando um cafezinho no boteco da esquina, antes de partirem para as suas respectivas repartições. Um tinha um nome fácil: era o Zé. O outro tinha um nome desses de dar cãibra em língua [...]: era o Flaudemíglio. Acabado o café o Zé perguntou: — Vais pra cidade? — Vou – respondeu Flaudemíglio, acrescentando: – Mas vou pegar o 434, que vai pela Lapa. Eu tenho que entregar uma urinazinha de minha mulher no laboratório [...] olhou para a fila do 474, que ia direto pro centro e, por isso, era a fila mais piruada. Tinha gente às pampas — Vens comigo? – quis saber Flaudemíglio. — Não — disse o Zé: – Eu estou atrasado e vou pegar um direto ao centro. — Então tá – concordou Flaudemíglio, olhando para a outra esquina e, vendo que já vinha o que passava pela Lapa: – Chi! Lá vem o meu... – e correu para o ponto de parada, fazendo sinal para o ônibus parar. Foi aí que, segurando o guarda-chuva, um embrulho e mais o vidrinho da urinazinha, foi aí que o Flaudemíglio se atrapalhou e deixou cair algo no chão. [...] O motorista [...] já ia botando o carro em movimento, não dando tempo ao passageiro para apanhar o que caíra. Flaudemíglio só teve tempo de berrar para o amigo: — Zé, caiu minha carteira de identidade. Apanha e me entrega logo mais. O 434 seguiu e Zé atravessou a rua, para apanhar a carteira do outro. Já estava chegando perto quando um cidadão magrelo e antipático e, ainda por cima, com um sorriso [...], apanhou a carteira de Flaudemíglio. — Por favor, cavalheiro, esta carteira é de um amigo meu – disse o Zé estendendo a mão. Mas o que tinha um sorriso [...] não entregou. Examinou a carteira e depois perguntou: — Como é o nome do seu amigo? — Flaudemíglio – respondeu o Zé. — Flaudemíglio de quê? – insistiu o chato. Mas o Zé deu-lhe um safanão e tomou-lhe a carteira, dizendo: — Ora, quem acerta Flaudemíglio não precisa acertar mais nada!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... olhou para a fila do 474, que ia direto pro centro...” a linguagem é",os dois estavam tomando um cafezinho no boteco da esquina.,a,"['os dois estavam tomando um cafezinho no boteco da esquina.', 'Ela no sabe que a cidade é mais piruada.', 'Ela no sabe que a cidade era mais piruada.', 'Os dois dois tinham um nome fácil: é o Flaudemglio.']"
Do que é feito o iogurte?,"O iogurte é um alimento amplamente consumido por jovens e adultos, seja puro ou com açúcar, mel ou frutas. Apesar disso, muitas pessoas não sabem como esse produto é feito e imaginam apenas que há leite, açúcar e alguns frutos. O que muitos não sabem é que, além desses produtos, existem bactérias! [...] As bactérias também são importantes para a fabricação de alimentos, tais como os iogurtes, queijos, coalhadas e vinagres; na produção de insulina, que é usada no tratamento de diabetes, e até em tratamentos estéticos, como o Botox. [...] No que diz respeito ao iogurte, elas são usadas para transformar o açúcar encontrado no leite (lactose) em ácido lático, que é responsável por coagular o leite. Esse processo é conhecido como fermentação. Basicamente, duas bactérias são usadas no processo de fabricação de iogurtes, a Lactobacillus bulgaricus e a Streptococcus thermophilus. A primeira está mais relacionada com a cremosidade e o cheiro do iogurte, enquanto o Streptococcus thermophilus está mais relacionado com a fermentação. O iogurte, além de saboroso, possui várias outras qualidades. Os lactobacilos usados em sua produção são importantes, por exemplo, contra doenças do intestino. Além disso, alguns estudos comprovam que o iogurte diminui o mau hálito e é uma boa fonte de cálcio, auxiliando, assim, no combate à osteoporose e à hipertensão (pressão alta). Sem falar que o iogurte é uma grande fonte de vitaminas",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... a Lactobacillus bulgaricus...” a linguagem é",a iogurte.,a,"['a iogurte.', 'As bactérias so usadas para transformar o açcar encontrado no leite em ácido lático', 'Os produtos de insulina no sabem que os iogurte.', 'A fruta é feito e melhor como o leit.']"
Feliz por não ser ninguém,"[...] Acabo de voltar de uma viagem rumo ao conhecimento, usando como meio de transporte excelentes livros da literatura brasileira. Eles me levaram para Copacabana, no Rio de Janeiro do ano de 1989, onde fui recebido por Rubem Braga, a quem fui logo pedindo: Ensina-me algo que eu ainda não saiba e tenha o poder de mudar a minha vida para melhor. Leia de forma compulsiva. Quanto mais você lê menos problemas na vida você vê. Rubem Braga entrou para a história ao transformar a Crônica num dos gêneros literários mais apreciados pelos brasileiros em meados do século passado. Na contramão da imprensa que dependia de grandes fatos para transformar em manchetes, ele passou a ganhar notoriedade publicando, no cantinho dos jornais, crônicas deliciosas sobre as coisas mais banais e simples da vida. [...] Entre suas grandes obras, achei outro dia a crônica “O Padeiro”, cujo trecho memorável reproduzo abaixo: “Enquanto tomo café vou me lembrando de um homem modesto que conheci antigamente. Quando vinha deixar o pão e o jornal do dia à porta do apartamento ele apertava a campainha, mas, para não incomodar os moradores, avisava gritando:  — Não é ninguém, é o padeiro!  Interroguei-o uma vez: como tivera a ideia de gritar aquilo? “Então você não é ninguém?”  Ele abriu um sorriso largo.  Explicou que aprendera aquilo de ouvido.  Muitas vezes lhe acontecera bater a campainha de uma casa [...] e ouvir uma voz que vinha lá de dentro perguntando quem era; e ouvir a pessoa que o atendera dizer para dentro: “não é ninguém, não senhora, é o padeiro”. [...] O jornal e o pão estariam bem cedinho na porta de cada lar; e dentro do meu coração eu recebi a lição de humildade daquele homem entre todos útil e entre todos alegre [...]. Para tempos difíceis, recomendo para pessoas que amo a leitura do clássico “200 Crônicas Escolhidas” de Rubem Braga, dentro dele palavras que são pílulas para o tédio e a monotonia.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... Entre suas grandes obras, achei outro dia a crônica “O Padeiro”, cujo trech memorável reproduzo abaixo:",indicar uma reforçaço.,d,"['eles têm uma vida melhor', 'Eles esto interessadas em ajudá-los a transformar a literatura brasileira', 'Eles esto interessadas em ajudá-los a transformar a Crônica', 'indicar uma reforçaço.']"
Anestesia,"O dentista, preocupado pela rejeição quase total de seus clientes à injeção de anestesia na gengiva, bolou uma maneira diferente de extrair os dentes, baseado em que uma dor inesperada faz esquecer outra dor. Para isso instalou na cadeira do dentista uma agulha oculta acionada por um pedal. No momento exato de dar o puxão para arrancar o dente, ele apertava o pedal e a agulha atingia o bumbum do paciente. Chegou o primeiro paciente para extrair um dente, que logo mostrou seu temor à injeção na gengiva. — Olhe, eu inventei uma maneira diferente de arrancar um dente sem a injeção na gengiva - explicou o dentista. - Se quiser posso usá-la com o senhor. — Pode! Qualquer coisa menos essa danada injeção! O médico, então, sem entrar em detalhes sobre o novo método, preparou tudo e na hora de dar o puxão, apertou o pedal. O cliente deu um pequeno pulo e o dente foi extraído. — Como é? - perguntou o dentista depois de estancar o sangue. - Doeu? — Nada, doutor! Mas, puxa! Tinha uma raiz um bocado profunda!",D22 - Reconhecer efeitos de humor e ironia.,"Nesse texto, no trecho “... ele apertava o pedal e a agulha atingia o bumbum do paciente.” o ponto de referência é",apertava o pedal e a agulha atingia.,a,"['apertava o pedal e a agulha atingia.', 'os dentistas so muito interessados com a injeço.', 'os dentistas apertava o pedal e agua atingia o bumbum', 'os dentistas apertava o pedal e o bumbum do paciente.']"
Penso e passo,Quando penso que uma palavra pode mudar tudo não fico mudo MUDO quando penso que um passo descobre um mundo não paro PASSO e assim que passo e mudo um novo mundo nasce na palavra que penso,D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Reconhecer o efeito decorrente do emprego de recursos estilsticos e morfossintáticos.” o termo “reconhecimento” é",na palavra que penso.,a,"['na palavra que penso.', 'O term ""reconhecimento"" é correcto em palavra que penso.', 'O term ""reconhecimento"" é correcto na palavra que pensa.', 'O term ""reconhecimento"" é correcto na palavra que penso.']"
Resenhas – O Pequeno Príncipe,"[...] Que livro fantástico! Ele atende todos os públicos, ensina lições para qualquer idade e sua linguagem fácil colabora para isso. Ser criança é ver a vida de forma mais colorida, é sonhar e ter esperança de que irá realizar. É ter as brincadeiras e a imaginação como as grandes atividades do dia. Bem se fala que devemos ter a pureza e o coração de uma criança, pois elas veem além do superficial. Por isso, deixar que a nossa criança interior viva é nos permitir olhar além do que vemos. Permita-se apreciar os prazeres da vida e a desfrutar dos momentos que vivencia, assim, você perceberá que o essencial é invisível aos olhos, porque o que é bom é visto pelo coração. Cativa as relações adquiridas ao longo da caminhada e não se esqueça: todo adulto já foi uma criança cheia de sonhos. Você já realizou os seus?",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “... a linguagem fácil colabora para isso.” o ponto de referência é",adiço.,a,"['adiço.', 'A vida de forma mais colorida', 'a imaginaço como os grandes atividades do dia', 'a imaginaço com os grandes atividades do dia']"
"Orquestra Criança Cidadã Meninos do Ipojuca ensaia para primeira apresentação
Concerto vai acontecer no dia 23 de dezembro em frente à sede do Projeto","Dois meses depois da inauguração do núcleo Orquestra Criança Cidadã Meninos do Ipojuca, as 100 crianças do Projeto estão empenhadas ensaiando para sua primeira apresentação que vai acontecer no dia 23 de dezembro para os moradores do Distrito de Camela e convidados. O evento vai acontecer em frente à sede do projeto, [...] centro de Camela. O projeto da Orquestra em Camela é fruto de uma parceria entre a Associação Beneficente Criança Cidadã (ABCC), ONG gestora da Orquestra, e a Prefeitura do Ipojuca [...]. Os alunos, que têm entre 8 e 16 anos, têm aula de segunda a sexta e ensaio com todos os alunos juntos aos sábado. “A dedicação dos jovens é geral. Não existe falta [...]. O grupo é bastante comprometido e eles mostram que estão gostando do que fazem.”, comemorou o músico e coordenador pedagógico do Projeto, Márcio Pereira.",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “A dedicaço dos jovens é geral. No existe falta...” o ponto de referência é",“A dedicaço dos jovens é geral.,c,"['Os alunos têm entre 8 e 16 anos.', 'O projeto da Orquestra em Camela é fruto de um parceiro entre a Associaço Beneficente Criança Cidad (ABCC) e a Prefeitura do Ipojuca.', '“A dedicaço dos jovens é geral.', 'O projeto da Orquestra em Camela é fruto de um parceiro entre a Associaço Beneficente Criança Cidad (ABCC) e a Prefeitura do Ipojuca']"
O cômodo vazio,"Um homem acorda num cômodo vazio. [...] Confuso, tateia ao redor de si a fim de encontrar algo. Sem achar nada além do chão [...], põe-se sentado e olha para os lados: quatro paredes, encardidas, lhe guardam, silenciosas, num quadrilátero. Olha para cima: há um teto, no mesmo estado das paredes. Botando-se de gatinhas, teima em vasculhar o piso, agora indo além de onde despertou, seguindo por todos os lugares e cantos. [...] Nada. Desalentado, encara o teto. [...] Dá alguns pulos com os braços esticados, já sabendo que não daria certo, mas insiste mesmo assim, renovando seu desgosto. Angustiado, [...] senta-se no chão e leva as mãos à cabeça. Sua testa está escorregadia de suor, e fecha os olhos para pensar melhor. “Ora, este é um cômodo. E está vazio. Se estou nele... ... entrei por algum lugar.” Concluindo o óbvio, abre os olhos e vasculha novamente os arredores. Sente vergonha de si quando repara que havia uma porta numa das paredes, o tempo todo. Apalpa [...] os bolsos vazios: nada de chave. “Como saio?” Levanta-se e vai até a porta. Gira a maçaneta. “Está aberta!” Sai do cômodo e segue seu caminho, como já devia ter feito desde o começo desta estória.",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “... sem achar nada além do cho...” o ponto de interrogaço é",a cômodo.,c,"['os olhos no.', 'os olhos.', 'a cômodo.', 'O cômodo vazio.']"
Alvinho,"O Alvinho encarava um batente que não era mole. Se virava mais que charuto em boca de bêbado por uma grana muito mixuruca, que mal dava pra ele escorar os repuxos. Coisa que não é mole, hoje em dia, com a vida custando os olhos da cara como anda. Muito nego se abilola. Principalmente se o pinta é casado e tem montes de filhos pra sustentar. Às vezes, entra em bobeira e sai falando sozinho. E esse era o lance do Alvinho. Cheio de bronca com a sinuca de bico em que estava, ficava pelos botecos cavernosos e biroscas escamosas fazendo o maior quás-quás-quás da paróquia: — Estou na piorada. Sei que estou. Mas um dia vira o jogo. Tem que virar. Do jeito que está não pode ser. Vê eu? Mino linha de frente, me atucanando nessa zorra encardida. Tá direito? Tá, não. Eu, Alvinho boa cuca, cheio de embaixada, perdido aqui nessa joça. Entregue às traças. A perigo perpétuo. Um dia tem que mudar. E como esse papo que ele engrenava não dizia nada a ninguém, o jeito era ele mesmo continuar charlando: — Nasci pra ser tratado a pão-de-ló. E, no entanto, estou só comendo capim pela raiz. Não dá pedal. Um dia me arrumo. Claro que era conversa de bêbado. Nem o mais loque dos ouvintes botava fé. [...]",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “E esse era o lance do Alvinho.” o ponto de interrogaço é",indicar que o Alvinho encarava um batente.,a,"['indicar que o Alvinho encarava um batente.', 'Elas fazem muitas coisas.', 'Elas fazem muitas pessoas.', 'Elas fazem muitas pessoas do que os outros.']"
Gatos detestam portas fechadas; veterinários explicam por quê,"Você sabia que os gatos odeiam portas fechadas? De acordo com especialistas, esses animais curiosos não gostam de pensar que não sabem o que tem por trás daquele ambiente. Segundo a veterinária Gabby Wild, você não consegue dizer para um gato o que fazer. “Então, quando fechamos uma porta para eles, eles naturalmente querem ter acesso ao que podem perceber como seu próprio território ou investigar o desconhecido”, disse ela [...]. A Dra. Wild acrescentou que os gatos podem não ser grandes fãs de portas fechadas por uma série de razões que remontam à sua natureza investigativa e territorial. “Eles podem detectar outros gatos, cheirar algo atraente ou desejar objetos, de comida a brinquedos, passando por humanos que coçam as costas, do outro lado da porta”, afirmou. [...]",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"Nesse texto, no trecho “Eles podem no ser grandes fs de portas fechadas por uma série de razes que remontam à sua natureza investigativa e territorial”.",os gatos que odeiam portas fechadas.,b,"['Os gatos odeiam portas fechadas por uma série de razes que remontam à sua natureza investigativa e territorial', 'os gatos que odeiam portas fechadas.', 'Os doentes no sabem que os outros odesiam a fazer uma vez em ajuda.', 'Os doentes no sabem que os outros odesiam a fazer uma porta.']"
